0 1747 STOKES AVE SW, ATLANTA, GA, 30310 
1359 92 GLENEAGLES WAY, FAYETTEVILLE, GA, 30215 
1360 315 AMADOR CIR NE, SANDY SPRINGS, GA, 30350 
1361 1560 JAMES BURGESS RD, SUWANEE, GA, 30024 
1362 2848 BAKER RIDGE DR NW, ATLANTA, GA, 30318 
1363 1907 NEW KEMP RD, MARIETTA, GA, 30066 
1364 2907 QUEEN ANNE CT, ATLANTA, GA, 30350 
1365 5544 FOX GLEN CIR, LITHONIA, GA, 30038 
1366 110 JOHNS CREEK LN, STOCKBRIDGE, GA, 30281 
1367 4164 FOREST CT, STONE MOUNTAIN, GA, 30083 
1368 885 WESTMORELAND LN, LAWRENCEVILLE, GA, 30043 
1369 2290 EMERALD SPRINGS DR, DECATUR, GA, 30035 
1370 709 ARMITAGE WAY, STOCKBRIDGE, GA, 30281 
1371 647 ROYAL CREST ALY, CANTON, GA, 30115 
1372 5535 DOWNS WAY, LITHONIA, GA, 30058 
1373 3661 COLLINS DR, DOUGLASVILLE, GA, 30135 
1374 2584 GRAVITT RD NW, DULUTH, GA, 30096 
1375 473 FELTON DR NE, ATLANTA, GA, 30312 
1376 3868 BURNT LEAF LN SW, SNELLVILLE, GA, 30039 
1377 162 SUMMERWOOD DR, FAIRBURN, GA, 30213 
1378 4490 CALUMET DR NW, KENNESAW, GA, 30152 
1379 314 FAIR ST, ATLANTA, GA, 30303 
1380 3511 MISTY VALLEY RD, DECATUR, GA, 30032 
1381 501 CARLTON RD, PALMETTO, GA, 30268 
1382 3617 COLLINS DR, DOUGLASVILLE, GA, 30135 
1383 2107 CHATOU PL, KENNESAW, GA, 30152 
1384 5400 DUNWOODY MILL CT, ATLANTA, GA, 30360 
1385 547 N FAIRFIELD DR, PEACHTREE CITY, GA, 30269 
1386 6851 ROSWELL RD, SANDY SPRINGS, GA, 30328 
1387 170 COLONIAL CT, FAYETTEVILLE, GA, 30214 
1388 1846 HICKORY CREEK CT, ACWORTH, GA, 30102 
1389 1072 NEW GIBRALTAR SQ, STONE MOUNTAIN, GA, 30083 
1390 2345 BRITLEY TER, ATLANTA, GA, 30349 
1391 5110 THISTLE RD SE, SMYRNA, GA, 30082 
1392 2836 HEDGEWOOD DR NW, ATLANTA, GA, 30311 
1393 2233 NOTTLEY DR, MARIETTA, GA, 30066 
1394 2477 WOODCREST CT, LAWRENCEVILLE, GA, 30043 
1395 3499 VILLA CIR SE, ATLANTA, GA, 30354 
1396 2493 MIRIAM LN, DECATUR, GA, 30032 
1397 2155 MEADOR AVE SE, ATLANTA, GA, 30315 
1398 116 FAIRHAVEN CT, STOCKBRIDGE, GA, 30281 
1399 1472 ELIZABETH LN, EAST POINT, GA, 30344 
1400 5100 GLORE RD SW, MABLETON, GA, 30126 
1401 5613 WINCHESTER PL, LITHONIA, GA, 30038 
1402 95 MONTGOMERY ST SE, ATLANTA, GA, 30317 
1403 290 BURKE CIR, MCDONOUGH, GA, 30253 
1404 5850 WHISPERING PINES CIR SW, MABLETON, GA, 30126 
1405 2298 WINFRED TER, EAST POINT, GA, 30344 
1406 2592 BOULDER HILL CT, ATLANTA, GA, 30316 
1407 3078 EASTBROOK TER, ATLANTA, GA, 30331 
1408 3040 VALLEY CIR, DECATUR, GA, 30033 
1409 535 WESTBRIDGE DR, FAYETTEVILLE, GA, 30214 
1410 2970 MONTAGUE PLACE DR NE, LAWRENCEVILLE, GA, 30043 
1411 4280 KINGS CROSS WAY NE, HOSCHTON, GA, 30548 
1412 3961 CORNELL BLVD SW, ATLANTA, GA, 30331 
1413 1421 CHARING CROSS WAY NW, LAWRENCEVILLE, GA, 30046 
1414 1321 HAWTHORNE AVE SE, SMYRNA, GA, 30080 
1415 2467 WOODSIDE WAY, CHAMBLEE, GA, 30341 
1416 1692 TEMPLE AVE, COLLEGE PARK, GA, 30337 
1417 3059 BROADLEAF TRL, FAIRBURN, GA, 30213 
1418 15355 TULLGEAN DR, ALPHARETTA, GA, 30004 
1419 330 BANYON LN, ROSWELL, GA, 30076 
1420 3644 KINGSBORO RD NE, ATLANTA, GA, 30319 
1421 3582 THOMPSON BEND, GAINESVILLE, GA, 30506 
1422 1136 WYLAND DR SW, ATLANTA, GA, 30310 
1423 2467 CALVIN AVE, EAST POINT, GA, 30344 
1424 4912 PAYSON WAY, ATLANTA, GA, 30339 
1425 2247 HIGHTRAIL CT, LITHONIA, GA, 30058 
1426 1103 KNOTT ST SE, ATLANTA, GA, 30316 
1427 304 S HOWARD ST SE, ATLANTA, GA, 30317 
1428 5425 SETTLES BRIDGE RD, SUWANEE, GA, 30024 
1429 4101 PINE HEIGHTS DR, ATLANTA, GA, 30324 
1430 53 MARTIN AVE SE, ATLANTA, GA, 30315 
1431 1774 BERTRAM LN SW, MARIETTA, GA, 30008 
1432 1761 STEPHANIE TRL, ATLANTA, GA, 30329 
1433 2880 OGDEN TRL, BUFORD, GA, 30519 
1434 1758 SLUICE GATE WAY, LAWRENCEVILLE, GA, 30045 
1435 6330 ELLENWOOD DR, REX, GA, 30273 
1436 2502 ROCKIN HILL LN SW, MARIETTA, GA, 30060 
1437 1677 HUNTING CREEK DR SE, CONYERS, GA, 30013 
1438 1931 VENETIAN DR SW, ATLANTA, GA, 30311 
1439 1052 ADAH LN, LAWRENCEVILLE, GA, 30043 
1440 4870 SURREY DR, ROSWELL, GA, 30075 
1441 4083 ESTER DR SW, ATLANTA, GA, 30331 
1442 214 BRAEDEN WAY, ALPHARETTA, GA, 30009 
1443 8 HEARDS OVERLOOK CT NW, ATLANTA, GA, 30328 
1444 6120 GWENDOLINE DR SW, ATLANTA, GA, 30349 
1445 4105 ROYAL REGENCY CIR, KENNESAW, GA, 30144 
1446 3594 BROOKCREST CIR, DECATUR, GA, 30032 
1447 2254 WHITES MILL RD, DECATUR, GA, 30032 
1448 309 MASTERS CLUB BLVD, HAMPTON, GA, 30228 
1449 2185 KILARNEY RD, DECATUR, GA, 30032 
1450 3103 COLLIER DR NW, ATLANTA, GA, 30318 
1451 2118 SUGAR CREEK CLOSE SE, ATLANTA, GA, 30316 
1452 1546 EASTLAND RD SE, ATLANTA, GA, 30316 
1453 1290 PARKMONT DR, ROSWELL, GA, 30076 
1454 2673 HAYNES MEADOW CT SW, GRAYSON, GA, 30017 
1455 123 CENTENNIAL DR, PEACHTREE CITY, GA, 30269 
1456 3664 GRIFFIN DR, GAINESVILLE, GA, 30506 
1457 1093 STANDARD DR NE, BROOKHAVEN, GA, 30319 
1458 599 SALEM WOODS DR, MARIETTA, GA, 30067 
1459 2657 LENOX RD, ATLANTA, GA, 30324 
1460 2002 FAIRVIEW LNDG SE, CONYERS, GA, 30013 
1461 541 PICKETTS BEND CIR, MARIETTA, GA, 30008 
1462 4053 IRVINDALE RD NW, DULUTH, GA, 30096 
1463 764 MEMORIAL DR SE, ATLANTA, GA, 30316 
1464 307 DUNSTANS PASS, MARIETTA, GA, 30066 
1465 208 TURNBRIDGE CIR, PEACHTREE CITY, GA, 30269 
1466 901 CHANNEL DR, LAWRENCEVILLE, GA, 30046 
1467 46 MOUNT MORIAH RD, AUBURN, GA, 30011 
1468 1296 NORTHWEST DR NW, ATLANTA, GA, 30318 
1469 1355 WILLOW RIVER RUN, GRAYSON, GA, 30017 
1470 2875 LOOKOUT PL NE, ATLANTA, GA, 30305 
1471 2980 LAGUNA DR, DECATUR, GA, 30032 
1472 5205 MALTDIE CT NE, SUGAR HILL, GA, 30518 
1473 4310 BAKERS FERRY RD SW, ATLANTA, GA, 30331 
1474 4107 MARQUETTE CT, DECATUR, GA, 30034 
1475 1951 LA MESA LN, DECATUR, GA, 30032 
1476 7010 SAND WEDGE CIR, KENNESAW, GA, 30144 
1477 245 DEVILLA CT, FAYETTEVILLE, GA, 30214 
1478 2763 TILSON RD, DECATUR, GA, 30032 
1479 4341 HAMMERSTONE CT, NORCROSS, GA, 30092 
1480 1522 WEDMORE CT SE, SMYRNA, GA, 30080 
1481 2814 DEERWOOD LN SW, ATLANTA, GA, 30331 
1482 7218 GOLD MINE AVE, AUSTELL, GA, 30168 
1483 2513 RIGGS DR, EAST POINT, GA, 30344 
1484 6313 BROOKWATER VW, SMYRNA, GA, 30126 
1485 710 CELESTE LN, ATLANTA, GA, 30331 
1486 2870 CREEKSTONE DR, ACWORTH, GA, 30102 
1487 1422 AMARYLLIS WAY, RIVERDALE, GA, 30296 
1488 1298 LEE ANN DR, DECATUR, GA, 30035 
1489 1810 WATERCREST DR, CUMMING, GA, 30041 
1490 270 ARNOLD AVE, MARIETTA, GA, 30066 
1491 4031 CAMARON WAY, SNELLVILLE, GA, 30039 
1492 301 WYNNMEADE PKWY, PEACHTREE CITY, GA, 30269 
1493 5628 WOODLAND GREENS RD, DOUGLASVILLE, GA, 30135 
1494 300 BECKENHAM WALK DR, DACULA, GA, 30019 
1495 1951 WESTOVER LN, KENNESAW, GA, 30152 
1496 2240 LAKE RANCH CT, GAINESVILLE, GA, 30506 
1497 497 VILLAGE SQUARE CT, STONE MOUNTAIN, GA, 30083 
1498 800 ROCK SHOALS CT, ATLANTA, GA, 30349 
1499 660 GLEN IRIS DR NE, ATLANTA, GA, 30308 
1500 2789 COUNTRY CT SE, CONYERS, GA, 30013 
1501 6210 ELMSHORN WAY, ALPHARETTA, GA, 30004 
1502 4043 TOWNE CREEK COVE, DULUTH, GA, 30097 
1503 226 TURNBRIDGE CIR, PEACHTREE CITY, GA, 30269 
1504 3434 JOEL CT, STONE MOUNTAIN, GA, 30087 
1505 2605 WATERFORD PARK DR, LAWRENCEVILLE, GA, 30044 
1506 955 SUGAR MEADOW DR, SUGAR HILL, GA, 30518 
1507 3073 WENDLOCK DR, MARIETTA, GA, 30062 
1508 4396 BRIARCLIFF RD NE, ATLANTA, GA, 30345 
1509 832 MINOR OAKS RUN NW, LILBURN, GA, 30047 
1510 5504 MILLERS CREEK DR, POWDER SPGS, GA, 30127 
1511 245 SIMON TER NW, ATLANTA, GA, 30318 
1512 5960 QUAIL TRL, GAINESVILLE, GA, 30506 
1513 2333 CHANCERY MILL LN, BUFORD, GA, 30519 
1514 294 W PIKE ST, LAWRENCEVILLE, GA, 30046 
1515 5501 SWANSON DR, ELLENWOOD, GA, 30294 
1516 4747 JULIAN WAY, ACWORTH, GA, 30101 
1517 230 SHENANDOAH DR, RIVERDALE, GA, 30274 
1518 2554 WILLENHALL WAY, LITHONIA, GA, 30058 
1519 254 HOLLY RD NW, ATLANTA, GA, 30314 
1520 197 EDISON DR, STOCKBRIDGE, GA, 30281 
1521 2801 SNAPFINGER MANOR, DECATUR, GA, 30035 
1522 3467 BENEFIELD PL, ATLANTA, GA, 30349 
1523 3754 CANVASBACK CT, MARIETTA, GA, 30062 
1524 528 NEWLIN CT, LAWRENCEVILLE, GA, 30046 
1525 1392 NASH RD NW, ATLANTA, GA, 30331 
1526 5930 FALLS LANDING DR, CUMMING, GA, 30040 
1527 5745 CHESTNUT DR, CUMMING, GA, 30040 
1528 310 MULBERRY MANOR CT, ALPHARETTA, GA, 30005 
1529 1091 SELWIN AVE SW, ATLANTA, GA, 30310 
1530 208 WILLIAMS ST, PALMETTO, GA, 30268 
1531 820 TUXWORTH CIR, DECATUR, GA, 30033 
1532 5500 MARBUT RD, LITHONIA, GA, 30058 
1533 3233 BRIDGE WALK DR, LAWRENCEVILLE, GA, 30044 
1534 3334 PEACHTREE RD NE, ATLANTA, GA, 30326 
1535 371 SHILOH MANOR DR, MARIETTA, GA, 30066 
1536 223 CRUMLEY ST SW, ATLANTA, GA, 30312 
1537 6608 SWIFT CREEK RD, LITHONIA, GA, 30058 
1538 2294 BRYANT DR, EAST POINT, GA, 30344 
1539 6241 WILLOWBROOK DR, RIVERDALE, GA, 30296 
1540 2075 CLAUDE ST NW, ATLANTA, GA, 30318 
1541 705 SPRING HEIGHTS LN, SMYRNA, GA, 30080 
1542 3095 RIDERS TRL, DECATUR, GA, 30034 
1543 631 BELLENDEN DR, PEACHTREE CITY, GA, 30269 
1544 3453 CAMEO CT, SNELLVILLE, GA, 30039 
1545 1501 CLAIRMONT RD, DECATUR, GA, 30033 
1546 1605 BRIGHTON PT, ATLANTA, GA, 30328 
1547 3406 WESTCHESTER RIDGE NE, BROOKHAVEN, GA, 30329 
1548 416 ORCHARDS WALK, STONE MOUNTAIN, GA, 30087 
1549 27 CLOVER CT, HAMPTON, GA, 30228 
1550 144 FLORESTA DR, MCDONOUGH, GA, 30252 
1551 5599 RADFORD LOOP, FAIRBURN, GA, 30213 
1552 902 LONGLEAF DR, FOREST PARK, GA, 30297 
1553 204 BRYAN ST, MCDONOUGH, GA, 30253 
1554 1120 STANDARD DR NE, BROOKHAVEN, GA, 30319 
1555 3782 GREENHILL DR, CHAMBLEE, GA, 30341 
1556 2234 SALUDA LN NW, ACWORTH, GA, 30101 
1557 3578 ADKINS RD NW, ATLANTA, GA, 30331 
1558 1081 SHEPHERDS LN NE, ATLANTA, GA, 30324 
1559 1502 SILVER MAPLE CT, LILBURN, GA, 30047 
1560 3492 SAGEWOOD CT, SNELLVILLE, GA, 30039 
1561 6796 BROWNS MILL WALK, LITHONIA, GA, 30038 
1562 6850 EARLHURST RD, ATLANTA, GA, 30349 
1563 4469 WHITE CITY RD, COLLEGE PARK, GA, 30337 
1564 3896 BRAVE TRL, KENNESAW, GA, 30144 
1565 4602 CHATTAHOOCHEE CROSSING, MARIETTA, GA, 30067 
1566 427 CHERI PL, JONESBORO, GA, 30238 
1567 1891 BEECHER ST SW, ATLANTA, GA, 30310 
1568 3043 BRASS DR, AUSTELL, GA, 30106 
1569 379 ROSEGLEN DR, MARIETTA, GA, 30066 
1570 360 CHEROKEE AVE SE, ATLANTA, GA, 30312 
1571 1087 WOODSONG PASS CT, LAWRENCEVILLE, GA, 30043 
1572 400 LONDONBERRY RD NW, SANDY SPRINGS, GA, 30327 
1573 1644 OVERVIEW CIR, LAWRENCEVILLE, GA, 30044 
1574 3481 LAKESIDE DR NE, ATLANTA, GA, 30326 
1575 9064 RIVERBEND MANOR, ALPHARETTA, GA, 30022 
1576 2951 BELFAIRE LAKE DR, DACULA, GA, 30019 
1577 3628 EDENBOURGH PL, MARIETTA, GA, 30066 
1578 1418 KILCHIS FALLS WAY, BRASELTON, GA, 30517 
1579 2301 TUXEDO DR, MARIETTA, GA, 30067 
1580 1624 KON TIKI LN, JONESBORO, GA, 30236 
1581 150 CUMBERLAND DR, REX, GA, 30273 
1582 4101 WILLOW RIDGE RD, DOUGLASVILLE, GA, 30135 
1583 3840 WALTERS PARK DR, LOGANVILLE, GA, 30052 
1584 2197 EARWOOD DR, MARIETTA, GA, 30060 
1585 195 POPLAR WAY, FAYETTEVILLE, GA, 30214 
1586 5541 WIND RIVER LN SW, POWDER SPGS, GA, 30127 
1587 339 DIANE DR, SMYRNA, GA, 30082 
1588 2813 ZANE GREY DR SE, ATLANTA, GA, 30316 
1589 5027 BETHPAGE DR, SUWANEE, GA, 30024 
1590 1800 HAMMOND WOODS CIR SW, MARIETTA, GA, 30008 
1591 1160 WINDSOR PKWY NE, ATLANTA, GA, 30319 
1592 2649 MOUNT VERNON WAY, COLLEGE PARK, GA, 30337 
1593 3362 MARLA BLVD NW, PEACHTREE CORNERS, GA, 30092 
1594 1380 WINSHIRE COVE, ALPHARETTA, GA, 30004 
1595 6330 HOLCOMB WAY, PEACHTREE CORNERS, GA, 30092 
1596 900 CHASE LN, MCDONOUGH, GA, 30253 
1597 9585 LAKEVIEW CIR, UNION CITY, GA, 30291 
1598 2360 LOGAN CIR NE, ATLANTA, GA, 30319 
1599 3064 WESLOCK CIR, DECATUR, GA, 30034 
1600 4519 PERSIAN CT SW, SNELLVILLE, GA, 30039 
1601 2720 BATTERY TRCE, MARIETTA, GA, 30064 
1602 4751 CAMP HIGHLAND RD, SMYRNA, GA, 30082 
1603 145 TRACE DR, STOCKBRIDGE, GA, 30281 
1604 510 BOULEVARD NE, ATLANTA, GA, 30308 
1605 6645 WHITE WALNUT WAY, BRASELTON, GA, 30517 
1606 6503 SILK TREE PT, BRASELTON, GA, 30517 
1607 1337 WESTCHESTER RIDGE NE, ATLANTA, GA, 30329 
1608 31 SWEETWATER PASS, POWDER SPGS, GA, 30127 
1609 6802 GRAND HICKORY DR, BRASELTON, GA, 30517 
1610 1877 QUAIL RUN, LAWRENCEVILLE, GA, 30044 
1611 571 FORMWALT ST SW, ATLANTA, GA, 30312 
1612 2507 BRENTFORD PL, DECATUR, GA, 30032 
1613 516 HAMLIN TRCE, RIVERDALE, GA, 30274 
1614 2336 POLAR ROCK AVE SW, ATLANTA, GA, 30315 
1615 4080 EULA CIR, ATLANTA, GA, 30360 
1616 43 LE PARC FONTAINE, LITHONIA, GA, 30038 
1617 4490 BERLINE DR, LITHONIA, GA, 30038 
1618 6980 ROSWELL RD, ATLANTA, GA, 30328 
1619 251 WATER OAK PL, ALPHARETTA, GA, 30009 
1620 772 ANTONE ST NW, ATLANTA, GA, 30318 
1621 1591 NORRIS LAKE DR, SNELLVILLE, GA, 30039 
1622 3189 DOGWOOD DR, EAST POINT, GA, 30344 
1623 5588 BOWERS RD SW, STONE MOUNTAIN, GA, 30087 
1624 7046 PRESERVE PKWY, FAIRBURN, GA, 30213 
1625 210 EDGEWATER WAY, PEACHTREE CITY, GA, 30269 
1626 20 STAR SPANGLED LN, PEACHTREE CITY, GA, 30269 
1627 115 PACES CIR, FAYETTEVILLE, GA, 30215 
1628 3615 WYNTERING TRL, MARIETTA, GA, 30068 
1629 2810 ASHLEIGH LN, ALPHARETTA, GA, 30004 
1630 4209 ORCHARD ENTRANCE, REX, GA, 30273 
1631 7015 KIMBERLY MILL RD, SOUTH FULTON, GA, 30349 
1632 5467 BURRUS LN, MABLETON, GA, 30126 
1633 570 REED ST SE, ATLANTA, GA, 30312 
1634 1338 MERCER AVE, EAST POINT, GA, 30344 
1635 764 REEVES LAKE DR SW, MARIETTA, GA, 30064 
1636 609 MAGNOLIA DR, LOGANVILLE, GA, 30052 
1637 1010 ARBOR CREEK DR, ROSWELL, GA, 30076 
1638 2073 LENOA LN, AUSTELL, GA, 30106 
1639 2904 LLOYD RD, DECATUR, GA, 30034 
1640 544 NORFOLK ST NW, ATLANTA, GA, 30314 
1641 492 SUMMIT RIDGE DR, LAWRENCEVILLE, GA, 30046 
1642 139 OLD MILL TRL SW, CONYERS, GA, 30094 
1643 3837 KIRKWOOD RUN NW, KENNESAW, GA, 30144 
1644 5045 LELAND DR, STONE MOUNTAIN, GA, 30083 
1645 1082 AMSTERDAM AVE NE, ATLANTA, GA, 30306 
1646 18 VININGS LAKE DR, MABLETON, GA, 30126 
1647 1943 MARVIN LN SW, ATLANTA, GA, 30311 
1648 3916 BONNIE LN SE, ATLANTA, GA, 30354 
1649 4917 ROYAL DR NW, DULUTH, GA, 30096 
1650 191 FLORIDA AVE SW, ATLANTA, GA, 30310 
1651 371 WOODWARD AVE SE, ATLANTA, GA, 30312 
1652 3802 JACKSON SHOALS DR, LAWRENCEVILLE, GA, 30044 
1653 3016 DEERBORNE CT SW, ATLANTA, GA, 30331 
1654 53 MOUNT BETHEL RD, MCDONOUGH, GA, 30252 
1655 2468 MAIN ST NW, ATLANTA, GA, 30318 
1656 5155 ROSWELL RD, SANDY SPRINGS, GA, 30342 
1657 1649 ADELIA PL NE, ATLANTA, GA, 30329 
1658 2772 MCAFEE RD, DECATUR, GA, 30032 
1659 786 VERNER ST NW, ATLANTA, GA, 30318 
1660 1020 BALSAM WOOD TRL, VILLA RICA, GA, 30180 
1661 1482 ALICE AVE, LITHONIA, GA, 30058 
1662 1429 DAVID CIR, DECATUR, GA, 30032 
1663 515 EDGEWATER WAY, MCDONOUGH, GA, 30253 
1664 1578 WATER LILY WAY, LAWRENCEVILLE, GA, 30045 
1665 1009 N HILLS DR, DECATUR, GA, 30033 
1666 4256 MEDLOCK GROVE DR, SNELLVILLE, GA, 30039 
1667 4865 TOPSFIELD TRL, LITHONIA, GA, 30038 
1668 2600 TYLER BAY LN, GRAYSON, GA, 30017 
1669 6102 E FAYETTEVILLE DR, RIVERDALE, GA, 30296 
1670 700 ROCKINGHAM CT, WOODSTOCK, GA, 30189 
1671 1699 PINTO TRL, JONESBORO, GA, 30236 
1672 1203 VISTA TRL NE, ATLANTA, GA, 30324 
1673 9512 RUSHMORE CIR, BRASELTON, GA, 30517 
1674 7605 LOWERY OAK DR, ROSWELL, GA, 30075 
1675 5021 FALCON PT, DOUGLASVILLE, GA, 30135 
1676 65 DEVON LN, AVONDALE EST, GA, 30002 
1677 1028 S CREEK DR, VILLA RICA, GA, 30180 
1678 3845 WILL LEE RD, ATLANTA, GA, 30349 
1679 6253 COLONIAL VW, FAIRBURN, GA, 30213 
1680 240 MCKINLEY LOOP, MCDONOUGH, GA, 30253 
1681 166 LONDON DR, MCDONOUGH, GA, 30253 
1682 1598 HARDIN AVE, COLLEGE PARK, GA, 30337 
1683 4561 OLDE PERIMETER WAY, DUNWOODY, GA, 30346 
1684 4861 BRIARCLIFF DR, BUFORD, GA, 30518 
1685 2603 HAVERSACK CT SW, MARIETTA, GA, 30008 
1686 5805 ASPEN DR, CUMMING, GA, 30040 
1687 4020 LANTERN HILL DR, DACULA, GA, 30019 
1688 4093 SWEETSPRINGS TER SW, POWDER SPGS, GA, 30127 
1689 1225 FOXCROFT LN, CUMMING, GA, 30041 
1690 5670 ORLY TER, ATLANTA, GA, 30349 
1691 1943 THOMPSON AVE, ATLANTA, GA, 30344 
1692 998 GLENWOOD AVE SE, ATLANTA, GA, 30316 
1693 132 SWEETGUM RD, PEACHTREE CITY, GA, 30269 
1694 1199 HUFF RD NW, ATLANTA, GA, 30318 
1695 998 ALLENE AVE SW, ATLANTA, GA, 30310 
1696 7620 TARA BLVD, JONESBORO, GA, 30236 
1697 5426 RADFORD LN, LITHONIA, GA, 30038 
1698 4840 KENDALL CT NE, ATLANTA, GA, 30342 
1699 3889 FAIRHILL PT, ALPHARETTA, GA, 30004 
1700 38 HIGHLAND DR NE, ATLANTA, GA, 30305 
1701 59 MELODY LN, LAWRENCEVILLE, GA, 30043 
1702 715 TAYLOR CT NE, ATLANTA, GA, 30324 
1703 1929 BRITTANIA CIR, WOODSTOCK, GA, 30188 
1704 5514 GREENWING CT, LITHONIA, GA, 30058 
1705 23 HIGHLAND DR NE, ATLANTA, GA, 30305 
1706 1657 THORN RIDGE TRL, HAMPTON, GA, 30228 
1707 2025 CHERRYBROOK DR, DECATUR, GA, 30032 
1708 493 BENSON HURST DR, MABLETON, GA, 30126 
1709 2948 LAVISTA WAY, DECATUR, GA, 30033 
1710 2504 BRENTWOOD RD, DECATUR, GA, 30032 
1711 3206 MATHIESON DR NE, ATLANTA, GA, 30305 
1712 6086 APPLE GROVE RD, BUFORD, GA, 30519 
1713 6297 TEMPLE ST, LITHIA SPGS, GA, 30122 
1714 5113 TANNENHILL CT, SUGAR HILL, GA, 30518 
1715 2365 SHAMROCK DR, DECATUR, GA, 30032 
1716 2151 GLEN HOPE LN, DACULA, GA, 30019 
1717 920 GREENWOOD AVE NE, ATLANTA, GA, 30306 
1718 3355 BENTON HARBOR CT, DECATUR, GA, 30034 
1719 372 BERKSHIRE PL, FAIRBURN, GA, 30213 
1720 175 FAWN BROOK PASS, FAYETTEVILLE, GA, 30215 
1721 1736 WILLIAMS AVE, ATLANTA, GA, 30344 
1722 4963 WOLFCREEK VW, ATLANTA, GA, 30349 
1723 4455 SUGARLOAF PKWY, LAWRENCEVILLE, GA, 30044 
1724 5033 MEADOW TRCE, FAIRBURN, GA, 30213 
1725 600 COLIGNY CT, SANDY SPRINGS, GA, 30350 
1726 27 SIMPSON DR NE, KENNESAW, GA, 30144 
1727 135 TRAMORE TRCE, TYRONE, GA, 30290 
1728 501 VINEMONT WAY, AUBURN, GA, 30011 
1729 145 PACES DR, FAYETTEVILLE, GA, 30215 
1730 2515 LAKEVIEW TRL, CUMMING, GA, 30041 
1731 4022 W JOHNSON CIR, CHAMBLEE, GA, 30341 
1732 797 FIELD ST SE, ATLANTA, GA, 30316 
1733 2151 RADCLIFFE DR NW, ATLANTA, GA, 30318 
1734 6540 ASHDALE DR, ATLANTA, GA, 30349 
1735 960 SPRING IVES DR, LAWRENCEVILLE, GA, 30043 
1736 4543 COOPERS CREEK PL SE, SMYRNA, GA, 30082 
1737 1187 LAVISTA RD NE, ATLANTA, GA, 30324 
1738 3015 COLUMBIA COVE, DECATUR, GA, 30034 
1739 2117 BEECHER CIR SW, ATLANTA, GA, 30311 
1740 137 UNITY COVE, LOCUST GROVE, GA, 30248 
1741 1510 SUGARPLUM PL SW, CONYERS, GA, 30094 
1742 4926 LOWER ELM ST, ATLANTA, GA, 30349 
1743 1563 OAK PARK DR, SUWANEE, GA, 30024 
1744 5226 APPLE GROVE RD, BUFORD, GA, 30519 
1745 910 WHITETAIL CT, ALPHARETTA, GA, 30005 
1746 2802 PINE VALLEY WAY NW, KENNESAW, GA, 30152 
1747 1620 FLINTWOOD DR SE, ATLANTA, GA, 30316 
1748 82 LA RUE PL NW, ATLANTA, GA, 30327 
1749 140 ROCK HILL DR, FAYETTEVILLE, GA, 30215 
1750 3405 ELGIN DR, DECATUR, GA, 30032 
1751 108 HOLLINGER WAY SW, MARIETTA, GA, 30060 
1752 3330 DOGWOOD DR, ATLANTA, GA, 30354 
1753 446 JAYWOOD DR, STONE MOUNTAIN, GA, 30083 
1754 533 RANGELEY MEADOWS CT, HAMPTON, GA, 30228 
1755 6226 PINE LN, DOUGLASVILLE, GA, 30135 
1756 3874 CHERIE GLEN RD SW, SNELLVILLE, GA, 30039 
1757 2026 COGAR DR, DECATUR, GA, 30032 
1758 2459 BROOKS DR, AUSTELL, GA, 30106 
1759 Atlanta Avenue, Oakhurst, Decatur, DeKalb County, Georgia, 30030, United States 
1760 322 TARA COMMONS CIR, LOGANVILLE, GA, 30052 
1761 2864 MAPLE WALK CT SW, LAWRENCEVILLE, GA, 30044 
1762 3672 JERVIS CT, REX, GA, 30273 
1763 120 CABOTS COVE CT, ALPHARETTA, GA, 30022 
1764 445 PRINGLE DR, SUWANEE, GA, 30024 
1765 2657 JEWEL ST, ATLANTA, GA, 30344 
1766 2880 OLD LOST MOUNTAIN RD, POWDER SPGS, GA, 30127 
1767 1284 PIEDMONT AVE NE, ATLANTA, GA, 30309 
1768 417 GRANDIFLORA DR, MCDONOUGH, GA, 30253 
1769 3349 RENAULT RD SE, ATLANTA, GA, 30354 
1770 5487 RADFORD LOOP, FAIRBURN, GA, 30213 
1771 3842 HEMPSTEAD WAY SW, ATLANTA, GA, 30331 
1772 733 LENOX RD, ATLANTA, GA, 30324 
1773 1030 MILLRIDGE LN SE, MARIETTA, GA, 30067 
1774 585 COOL WEATHER DR, LAWRENCEVILLE, GA, 30045 
1775 464 VOYLES DR, RIVERDALE, GA, 30274 
1776 216 HIGH CREEK DR, ROSWELL, GA, 30076 
1777 3152 BAY ST, SCOTTDALE, GA, 30079 
1778 1674 WYNNDOWNE TRL SE, SMYRNA, GA, 30080 
1779 2306 ATOKA DR, MARIETTA, GA, 30060 
1780 45 DORANNE CT, SMYRNA, GA, 30080 
1781 2168 POLAR ROCK PL SW, ATLANTA, GA, 30315 
1782 4120 BRADBURY LN, ALPHARETTA, GA, 30022 
1783 2222 BEECHER CIR SW, ATLANTA, GA, 30311 
1784 3059 SPRINGSIDE RUN, DECATUR, GA, 30034 
1785 2976 FLOWERS DR, DOUGLASVILLE, GA, 30135 
1786 742 CHARLES ALLEN DR NE, ATLANTA, GA, 30308 
1787 4003 OVERLAND TRL SW, SNELLVILLE, GA, 30039 
1788 3670 VENUS PL NW, ATLANTA, GA, 30331 
1789 850 PIEDMONT AVE NE, ATLANTA, GA, 30308 
